FORMULA	SMILES	INCHIKEY
C20H27N5O2	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1	RRGUKTPIGVIEKM-UHFFFAOYSA-N	
C3H2NOR3	C1(C(N(*)C1*)=O)*		
C5H7NOS	[H][C@@]12CC(=O)N1CCS2	WSHJJCPTKWSMRR-RXMQYKEDSA-N	
C15H24N2O7S	CC(C)[C@H](O)[C@]1(NC(=O)[C@H](C)[C@@H]1O)C(=O)SC[C@H](NC(C)=O)C(O)=O	DAQAKHDKYAWHCG-RWTHQLGUSA-N	
C20H30N4O5S	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)[C@H](N)c1ccc(O)cc1)C(=O)NCCCC	SHISHHBVUCCUJC-ZXFNITATSA-N	
C34H49N5O12	COC(=O)CCCCCC(=O)N(O)CCCCC(NC(=O)C1COC(=N1)c1ccccc1O)C(=O)OC(C)CC(=O)NC1CCCCN(O)C1=O	CICZEXPNYSZNEI-UHFFFAOYSA-N	
C47H75N5O8	CCCCCCCCCCCCCCCCC\C=C/C(=O)NCCCCC(NC(=O)C1(C)COC(=N1)c1ccccc1O)C(=O)OC(C)CC(=O)NC1CCCCNC1=O	JLBSVDZUWJLOCF-GTWSWNCMSA-N	
C27H42N2O5S	[H][C@]12C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC[C@@]1(C)O2)C(\C)=C\c1csc(C)n1	FABUFPQFXZVHFB-PVYNADRNSA-N	
C34H27Br5N4O8	O\N=C1/Cc2cc(Br)c(Oc3cc(C\C(C(=O)NCCc4ccc(Br)c(Oc5ccc(CCNC1=O)c(Br)c5O)c4)=N/O)cc(Br)c3O)c(Br)c2	RINLQEBBENMFQH-FFVIWPAXSA-N	
C34H25Br5N4O8	O\N=C1/Cc2cc(Br)c(Oc3cc(C\C(C(=O)N\C=C\c4ccc(Br)c(Oc5ccc(CCNC1=O)c(Br)c5O)c4)=N/O)cc(Br)c3O)c(Br)c2	NWOWVTKBRVUTEE-PBUNXQQKSA-N	
C35H47NO10	C[C@H]1\C=C\C=C(C)/C(=O)NC2=CC(=O)C3=C(C(O)C(C)C(O)=C3C(=O)\C(C)=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](O)[C@H](C)[C@H]1O)C2=O	MHOUUNHTVCQAIF-BTYVTDDSSA-N	
C20H18N2O5R2	C=1C=CC=C(C1)CC2(C3=C(C(N4C2(CCC4=O)O)C(N*)=O)C=C(C=C3O)O)*		
C47H73NO17	[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2	APKFDSVGJQXUKY-INPOYWNPSA-N	
C22H20N4O8S2	[H][C@]12SCC(C[n+]3ccc(cc3)C(N)=O)=C(N1C(=O)[C@H]2NC(=O)[C@@H](c1ccccc1)S(O)(=O)=O)C([O-])=O	SYLKGLMBLAAGSC-QLVMHMETSA-N	
C25H43N13O10	[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O	GXFAIFRPOKBQRV-GHXCTMGLSA-N	
C22H24N2O8	[H][C@@]12C[C@@]3([H])C(C(=O)c4c(O)cccc4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C	OFVLGDICTFRJMM-WESIUVDSSA-N	
